paper,year,survey,method_or_table,band_um,flux_mjy,source_n_galaxies,flux_correction,integral_N_gt_S_per_deg2,integral_err_per_deg2,differential_value,differential_err,differential_unit,notes,source_url,bin_min_mjy,bin_max_mjy,err1_pct,err2_pct,err3_pct,err4_pct,err_total_pct_quadrature
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,45.2,,,99.9,10.0,40.252,18.001,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,54.0,,,28.5,5.3,21.000,14.850,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,48,50,0.84,17.8,1.0,1900,300,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,52,76,0.83,14.4,1.0,1300,150,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,56,43,0.82,9.1,0.8,1100,200,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,60,19,0.82,6.11,0.7,760,200,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,63,16,0.84,4.79,0.6,580,150,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,70,26,0.89,3.68,0.5,580,100,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,82,13,1,1.88,0.4,370,100,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,95,3,1,0.97,0.3,190,100,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,150,7,1,0.76,0.25,140,50,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,250,4,1,0.28,0.15,285,150,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Oliver et al.,2010,HerMES,Table 2,500,23.8,,,,,36000000,32149028,sr^-1 Jy^-1,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table.",https://arxiv.org/pdf/1005.2184,20,29,83,31,10,5,89.3029
Oliver et al.,2010,HerMES,Table 2,500,37.5,,,,,11000000,6172754.7,sr^-1 Jy^-1,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table.",https://arxiv.org/pdf/1005.2184,29,51,50,18,6,17,56.116
Oliver et al.,2010,HerMES,Table 2,500,58.9,,,,,1600000,1347899.1,sr^-1 Jy^-1,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table.",https://arxiv.org/pdf/1005.2184,51,69,62,25,18,48,84.2437
Oliver et al.,2010,HerMES,Table 2,500,85.9,,,,,230000,150575.36,sr^-1 Jy^-1,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table.",https://arxiv.org/pdf/1005.2184,69,111,56,15,14,27,65.4675
Oliver et al.,2010,HerMES,Table 2,500,166.2,,,,,13000,8053.7072,sr^-1 Jy^-1,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table.",https://arxiv.org/pdf/1005.2184,111,289,45,18,33,20,61.9516
Oliver et al.,2010,HerMES,Table 2,500,374.1,,,,,1300,656.33909,sr^-1 Jy^-1,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table.",https://arxiv.org/pdf/1005.2184,289,511,0,7,50,0,50.4876
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,11.0,,,766.9,27.7,7.370,1.903,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,13.1,,,657.5,25.6,10.127,2.159,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,15.6,,,542.2,23.3,12.766,2.413,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,18.7,,,430.7,20.8,18.502,2.890,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,22.3,,,306.9,17.5,15.563,2.669,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,26.6,,,227.0,15.1,24.322,3.440,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,31.7,,,131.3,11.5,15.629,2.954,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,37.9,,,84.2,9.2,15.647,3.263,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,45.2,,,48.0,6.9,17.058,3.814,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,54.0,,,17.8,4.2,6.599,2.694,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,64.5,,,8.8,3.0,7.051,3.153,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,77.0,,,1.5,1.2,1.819,1.819,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,500,11.2,,,1454.2,38.1,24.187,4.491,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,500,13.8,,,1040.7,32.3,31.967,6.041,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,500,17.0,,,641.6,25.3,32.819,7.162,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,500,20.9,,,342.2,18.5,17.115,6.051,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,500,25.8,,,228.1,15.1,17.571,7.173,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,500,31.8,,,142.6,11.9,24.052,9.819,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,500,39.2,,,57.0,7.6,21.950,10.975,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
