paper,year,survey,method_or_table,band_um,flux_mjy,flux_jy,euclidean_best_jy15_deg2,euclidean_err_jy15_deg2,log10_euclidean_best_jy15_deg2,source_n_galaxies,flux_correction,source_differential_value,source_differential_err,source_differential_unit,standard_unit,notes,source_url
Clements et al.,2010,H-ATLAS,Table 1,250,73.0,0.073,2.315092390378985,0.1523087098933543,0.3645683274624469,232.0,1.0,7600.0,500.0,gal sr^-1 Jy^1.5,Jy^1.5 deg^-2,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction. Converted from Jy^1.5 sr^-1 to Jy^1.5 deg^-2.,https://arxiv.org/pdf/1005.2409
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,81.8,0.0818,2.1318457269627262,0.7620546539244557,0.3287557733596976,,,22.131,7.911,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,81.8,0.0818,3.342598469369057,2.363612064637134,0.5240842099725292,,,34.7,24.537,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Clements et al.,2010,H-ATLAS,Table 1,250,83.0,0.083,1.7363192927842388,0.1523087098933543,0.23962959085414692,126.0,1.0,5700.0,500.0,gal sr^-1 Jy^1.5,Jy^1.5 deg^-2,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction. Converted from Jy^1.5 sr^-1 to Jy^1.5 deg^-2.,https://arxiv.org/pdf/1005.2409
Oliver et al.,2010,HerMES,Table 2,250,85.9,0.0859,2.0422050161693766,0.92712510818158,0.310099338594034,,,3100000.0,1407345.4,sr^-1 Jy^-1,Jy^1.5 deg^-2,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table. Raw dN/dS converted from sr^-1 Jy^-1 to deg^-2 Jy^-1, then multiplied by S^2.5.",https://arxiv.org/pdf/1005.2184
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,250,87.2,0.0872,1.856462828845559,0.0537204480097597,0.2686862579581523,,,1.856462828845559,0.0537204480097597,Jy^1.5 deg^-2,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check. Added as the area-weighted H-ATLAS DR1 GAMA9/GAMA12/GAMA15 curve; use as wide-area bright-end counts.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,250,89.3,0.08929999999999999,1.510527538139541,0.21598665900153413,0.17912864722136596,,,2.802,0.06209871174187111,log10 deg^-2 Jy^-1,Jy^1.5 deg^-2,Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins. Converted from log10 dN/dS [deg^-2 Jy^-1] to S^2.5 dN/dS [Jy^1.5 deg^-2].,https://arxiv.org/abs/1009.5675
Clements et al.,2010,H-ATLAS,Table 1,250,93.0,0.093,1.279393163104176,0.1523087098933543,0.10700402557955598,69.0,1.0,4200.0,500.0,gal sr^-1 Jy^1.5,Jy^1.5 deg^-2,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction. Converted from Jy^1.5 sr^-1 to Jy^1.5 deg^-2.,https://arxiv.org/pdf/1005.2409
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,250,93.7,0.0937,1.5267101769749332,0.7539630610879426,0.1837566005882573,,,15.849,7.827,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,250,99.9,0.0999,2.2550498607472513,2.2550498607472513,0.3531561488782799,,,23.41,23.41,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,100.0,0.1,1.063676,0.19593636011004278,0.0268,,,0.0268,0.08,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,250,107.2,0.1072,1.0815346951408231,0.0431243768123426,0.03404045596791651,,,1.0815346951408231,0.0431243768123426,Jy^1.5 deg^-2,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check. Added as the area-weighted H-ATLAS DR1 GAMA9/GAMA12/GAMA15 curve; use as wide-area bright-end counts.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Clements et al.,2010,H-ATLAS,Table 1,250,125.0,0.125,0.8833905173814548,0.09138522593601257,-0.05384726691938841,115.0,1.0,2900.0,300.0,gal sr^-1 Jy^1.5,Jy^1.5 deg^-2,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction. Converted from Jy^1.5 sr^-1 to Jy^1.5 deg^-2.,https://arxiv.org/pdf/1005.2409
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,250,131.7,0.1316999999999999,0.8659309192200557,0.0398884223000664,-0.06251675301522175,,,0.8659309192200557,0.0398884223000664,Jy^1.5 deg^-2,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check. Added as the area-weighted H-ATLAS DR1 GAMA9/GAMA12/GAMA15 curve; use as wide-area bright-end counts.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,250,161.8,0.1618,0.6987696688331786,0.0401401344929181,-0.1556659544965849,,,0.6987696688331786,0.0401401344929181,Jy^1.5 deg^-2,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check. Added as the area-weighted H-ATLAS DR1 GAMA9/GAMA12/GAMA15 curve; use as wide-area bright-end counts.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Oliver et al.,2010,HerMES,Table 2,250,166.2,0.1662,0.7203632993618143,0.2784369561168151,-0.1424484214641948,,,210000.0,81169.822,sr^-1 Jy^-1,Jy^1.5 deg^-2,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table. Raw dN/dS converted from sr^-1 Jy^-1 to deg^-2 Jy^-1, then multiplied by S^2.5.",https://arxiv.org/pdf/1005.2184
Clements et al.,2010,H-ATLAS,Table 1,250,175.0,0.175,0.45692612968006285,0.09138522593601257,-0.34015400576266325,25.0,1.0,1500.0,300.0,gal sr^-1 Jy^1.5,Jy^1.5 deg^-2,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction. Converted from Jy^1.5 sr^-1 to Jy^1.5 deg^-2.,https://arxiv.org/pdf/1005.2409
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,250,191.0,0.191,0.025268730185144347,0.017503439445343966,-1.5974165818806811,,,0.2,0.3008321791298265,log10 deg^-2 Jy^-1,Jy^1.5 deg^-2,Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins. Converted from log10 dN/dS [deg^-2 Jy^-1] to S^2.5 dN/dS [Jy^1.5 deg^-2].,https://arxiv.org/abs/1009.5675
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,250,198.7,0.1987,0.6453555555555556,0.0439470943633883,-0.19020094696062942,,,0.6453555555555556,0.0439470943633883,Jy^1.5 deg^-2,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check. Added as the area-weighted H-ATLAS DR1 GAMA9/GAMA12/GAMA15 curve; use as wide-area bright-end counts.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,199.818036,0.199818,0.4216965,0.0776793659734211,-0.375,,,-0.375,0.08,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,250,244.2,0.2442,0.6394096564531105,0.05061448638449,-0.19422080923944304,,,0.6394096564531105,0.05061448638449,Jy^1.5 deg^-2,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check. Added as the area-weighted H-ATLAS DR1 GAMA9/GAMA12/GAMA15 curve; use as wide-area bright-end counts.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Clements et al.,2010,H-ATLAS,Table 1,250,250.0,0.25,0.33507916176537944,0.09138522593601257,-0.4748525796601194,16.0,1.0,1100.0,300.0,gal sr^-1 Jy^1.5,Jy^1.5 deg^-2,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction. Converted from Jy^1.5 sr^-1 to Jy^1.5 deg^-2.,https://arxiv.org/pdf/1005.2409
Valiante et al.,2016,H-ATLAS DR1,Table 5 area-weighted GAMA9/12/15,250,300.0,0.3,1.7561412565769112,0.0974102490926479,0.24455944578681169,,,1.7561412565769112,0.0974102490926479,Jy^1.5 deg^-2,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check. Added as the area-weighted H-ATLAS DR1 GAMA9/GAMA12/GAMA15 curve; use as wide-area bright-end counts.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
Clements et al.,2010,H-ATLAS,Table 1,250,350.0,0.35,0.7006200655094297,0.18277045187202515,-0.15451742880075162,14.0,1.0,2300.0,600.0,gal sr^-1 Jy^1.5,Jy^1.5 deg^-2,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction. Converted from Jy^1.5 sr^-1 to Jy^1.5 deg^-2.,https://arxiv.org/pdf/1005.2409
Oliver et al.,2010,HerMES,Table 2,250,374.1,0.37410000000000004,0.4432746821390152,0.1394731219698765,-0.35332707294455784,,,17000.0,5348.9251,sr^-1 Jy^-1,Jy^1.5 deg^-2,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table. Raw dN/dS converted from sr^-1 Jy^-1 to deg^-2 Jy^-1, then multiplied by S^2.5.",https://arxiv.org/pdf/1005.2184
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,250,408.0,0.408,1.068194672698595,0.659780693366535,0.028650407724699758,,,1.002,0.26824615561084936,log10 deg^-2 Jy^-1,Jy^1.5 deg^-2,Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins. Converted from log10 dN/dS [deg^-2 Jy^-1] to S^2.5 dN/dS [Jy^1.5 deg^-2].,https://arxiv.org/abs/1009.5675
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,449.843267,0.4498433,0.3638596,0.06702541527222211,-0.439,,,-0.439,0.08,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Clements et al.,2010,H-ATLAS,Table 1,250,450.0,0.45,0.3655409037440503,0.18277045187202515,-0.43706401877071965,4.0,1.0,1200.0,600.0,gal sr^-1 Jy^1.5,Jy^1.5 deg^-2,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction. Converted from Jy^1.5 sr^-1 to Jy^1.5 deg^-2.,https://arxiv.org/pdf/1005.2409
Clements et al.,2010,H-ATLAS,Table 1,250,800.0,0.8,0.6701583235307589,0.213232193850696,-0.17382258399613823,10.0,1.0,2200.0,700.0,gal sr^-1 Jy^1.5,Jy^1.5 deg^-2,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction. Converted from Jy^1.5 sr^-1 to Jy^1.5 deg^-2.,https://arxiv.org/pdf/1005.2409
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,250,1000.0,1.0,1.5135612484362082,0.7716573370160494,0.18000000000000002,,,0.18,0.2214158982548453,log10 deg^-2 Jy^-1,Jy^1.5 deg^-2,Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins. Converted from log10 dN/dS [deg^-2 Jy^-1] to S^2.5 dN/dS [Jy^1.5 deg^-2].,https://arxiv.org/abs/1009.5675
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,250,1000.0,1.0,0.5128614,0.09447256115296453,-0.29,,,-0.29,0.08,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,0.1,0.0001,1e-15,2.7170504097329747e-14,-15.0,,,-15.0,11.8,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,0.158489,0.0001584893,0.001513561,0.018505896908426328,-2.82,,,-2.82,5.3100000000000005,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,0.281838,0.0002818383,19.95262,141.04379851099682,1.3,,,1.3,3.0700000000000003,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,0.501187,0.0005011872,0.8663189,2.1298191159980155,-0.0623,,,-0.0623,1.0676999999999999,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,1.0,0.001,0.1258925,0.12087920682283697,-0.9,,,-0.9,0.41700000000000004,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,1.995262,0.001995262,1.096478,0.6463318777845569,0.04,,,0.04,0.256,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,350,2.0,0.002,2.7075406716902455,1.5056292789402412,0.43257498915995274,,,7.18,0.24150569351466647,log10 deg^-2 Jy^-1,Jy^1.5 deg^-2,Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins. Converted from log10 dN/dS [deg^-2 Jy^-1] to S^2.5 dN/dS [Jy^1.5 deg^-2].,https://arxiv.org/abs/1009.5675
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,350,4.3,0.0043,2.107032036660744,1.1084652409815294,0.3236711389489666,,,6.24,0.22847319317591724,log10 deg^-2 Jy^-1,Jy^1.5 deg^-2,Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins. Converted from log10 dN/dS [deg^-2 Jy^-1] to S^2.5 dN/dS [Jy^1.5 deg^-2].,https://arxiv.org/abs/1009.5675
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,5.011872,0.005011872,3.689138,3.7630874950054563,0.567,,,0.567,0.44300000000000006,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,350,9.1,0.0091,5.3530768813482315,1.1741525876567689,0.7286034808027345,,,5.831,0.09525885785584456,log10 deg^-2 Jy^-1,Jy^1.5 deg^-2,Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins. Converted from log10 dN/dS [deg^-2 Jy^-1] to S^2.5 dN/dS [Jy^1.5 deg^-2].,https://arxiv.org/abs/1009.5675
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,10.0,0.01,6.456542,1.9475425943551852,0.81,,,0.81,0.131,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,10.8,0.0108,1.1911980597180911,0.24843116577817864,0.07598397734451208,,,12.366,2.579,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,11.0,0.011,3.795535011241487,0.5928055037607255,0.5792730018528933,,,39.402,6.154,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,12.6,0.0126,1.651070252593246,0.29187531303136144,0.21776555276883489,,,17.14,3.03,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,13.1,0.013099999999999999,4.3469192659581575,0.7244865443263596,0.6381815742431781,,,45.126,7.521,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,14.7,0.0147,3.8949460089472177,0.4301066906551251,0.5905014419370015,,,40.434,4.465,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,15.6,0.0156,5.354707888048621,0.9182994584580756,0.7287357840252328,,,55.588,9.533,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,17.2,0.0172,4.143666160183844,0.4392578968392766,0.6173847586507184,,,43.016,4.56,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,18.7,0.018699999999999998,7.395137881655979,1.2325229802759967,0.8689462757885034,,,76.77,12.795,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Glenn et al.,2010,HerMES SDP,Table 4 P(D) spline no FIRAS,350,19.5,0.0195,4.831550557897798,0.6924398048353146,0.6840865284062946,,,4.959,0.06224146527838174,log10 deg^-2 Jy^-1,Jy^1.5 deg^-2,Table 4 spline model without FIRAS prior; upper-limit first knot omitted; these are P(D) model-fit constraints rather than simple independent source-count bins. Converted from log10 dN/dS [deg^-2 Jy^-1] to S^2.5 dN/dS [Jy^1.5 deg^-2].,https://arxiv.org/abs/1009.5675
Varnish et al.,2025,SPIRE Dark Field II,Table 4 P(D) best-fit spline,350,19.952623,0.01995262,6.441677,2.8626743207779444,0.809,,,0.809,0.19300000000000006,log10 Jy^1.5 deg^-2,Jy^1.5 deg^-2,"Euclidean-normalised differential counts S^2.5 dN/dS in log10 units Converted published log10 lower/upper bounds into a conservative symmetric log error with 0.08 dex floor; treat as a P(D) sensitivity constraint, not fully independent bins.",https://arxiv.org/abs/2504.08076
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,20.0,0.02,5.516154430834284,0.5121785608540426,0.7416364162275846,,,57.264,5.317,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,350,22.3,0.0223,6.162518572893834,1.284925676741033,0.7897582411847834,,,63.974,13.339,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,350,23.3,0.0233,4.553062226316941,0.4799085179941396,0.6583035858147579,,,47.266,4.982,10^7 mJy^1.5 sr^-1,Jy^1.5 deg^-2,"Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7. Multiplied by 1e7, converted mJy^1.5 to Jy^1.5 using (1e-3)^1.5, then sr^-1 to deg^-2.",https://academic.oup.com/mnras/article/539/1/336/8108280
Oliver et al.,2010,HerMES,Table 2,350,23.8,0.0238,2.9281263512382023,1.6828449238811323,0.46658981298116053,,,110000000.0,63218905.0,sr^-1 Jy^-1,Jy^1.5 deg^-2,"Oliver HerMES Table 2 direct differential counts; flux_mjy is S_euc, bin limits kept separately; errors are fractional percentages in table. Raw dN/dS converted from sr^-1 Jy^-1 to deg^-2 Jy^-1, then multiplied by S^2.5.",https://arxiv.org/pdf/1005.2184
Valiante et al.,2016,H-ATLAS DR1,Table 8 area-weighted GAMA9/12/15,350,25.4,0.0254,4.2325262766945215,0.0263826919629859,0.6265996630096815,,,4.2325262766945215,0.0263826919629859,Jy^1.5 deg^-2,Jy^1.5 deg^-2,Area-weighted average of GAMA9/GAMA12/GAMA15 from Valiante Tables 5/8/9. Quoted errors do not include flux-bin correlations; field_scatter is kept as a sanity check. Added as the area-weighted H-ATLAS DR1 GAMA9/GAMA12/GAMA15 curve; use as wide-area bright-end counts.,https://ui.adsabs.harvard.edu/abs/2016MNRAS.462.3146V/abstract
