paper,year,survey,method_or_table,band_um,flux_mjy,source_n_galaxies,flux_correction,integral_N_gt_S_per_deg2,integral_err_per_deg2,differential_value,differential_err,differential_unit,notes,source_url,bin_min_mjy,bin_max_mjy,err1_pct,err2_pct,err3_pct,err4_pct,err_total_pct_quadrature
Clements et al.,2010,H-ATLAS,Table 1,250,34.0,898.0,1.1,436.0,6.0,23000.0,800.0,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,95.0,3.0,1.0,0.97,0.3,190.0,100.0,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,150.0,7.0,1.0,0.76,0.25,140.0,50.0,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Clements et al.,2010,H-ATLAS,Table 1,500,250.0,4.0,1.0,0.28,0.15,285.0,150.0,gal sr^-1 Jy^1.5,Corrected from Clements H-ATLAS Table 1 actual rows; fluxes are after paper flux correction.,https://arxiv.org/pdf/1005.2409,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,11.0,,,766.9,27.7,7.37,1.903,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,13.1,,,657.5,25.6,10.127,2.159,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,15.6,,,542.2,23.3,12.766,2.413,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,18.7,,,430.7,20.8,18.502,2.89,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,22.3,,,306.9,17.5,15.563,2.669,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,26.6,,,227.0,15.1,24.322,3.44,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,31.7,,,131.3,11.5,15.629,2.954,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,37.9,,,84.2,9.2,15.647,3.263,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,45.2,,,48.0,6.9,17.058,3.814,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,54.0,,,17.8,4.2,6.599,2.694,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,64.5,,,8.8,3.0,7.051,3.153,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 3 SUSSEXtractor,500,77.0,,,1.5,1.2,1.819,1.819,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 3 SUSSEXtractor; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,500,11.2,,,1454.2,38.1,24.187,4.491,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,500,13.8,,,1040.7,32.3,31.967,6.041,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,500,17.0,,,641.6,25.3,32.819,7.162,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,500,20.9,,,342.2,18.5,17.115,6.051,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,500,25.8,,,228.1,15.1,17.571,7.173,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,500,31.8,,,142.6,11.9,24.052,9.819,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
Pearson et al.,2025,SPIRE Dark Field,Table 4 XID,500,39.2,,,57.0,7.6,21.95,10.975,10^7 mJy^1.5 sr^-1,Pearson Dark Field I Table 4 XID simultaneous extraction; differential unit is mJy^1.5 sr^-1 x 10^7.,https://academic.oup.com/mnras/article/539/1/336/8108280,,,,,,,
